id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
146,南方花园瑞阳居,江宁,182,30233元/平米,3室1厅1厨2卫,低楼层 (共10层),60.2㎡,跃层,49.35㎡,塔楼,东,钢混结构,简装,三梯四十三户,有,70年,2019-04-10,商品房,2015-11-24,普通住宅,满两年,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片
147,四方新村二村,秦淮,137,27812元/平米,2室1厅1厨1卫,中楼层 (共7层),49.26㎡,平层,42.33㎡,板塔结合,南 北,钢混结构,精装,一梯两户,无,70年,2019-11-28,动迁安置房,2015-07-28,普通住宅,满两年,共有,"
                                有抵押 94万元
                              ",已上传房本照片
148,润富花园,浦口,160,18848元/平米,2室2厅1厨1卫,高楼层 (共6层),84.89㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,无,70年,2019-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 13万元
                              ",未上传房本照片
149,天琪雅居,江宁,255,24629元/平米,3室1厅1厨1卫,低楼层 (共11层),103.54㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,70年,2019-06-14,商品房,2016-06-14,普通住宅,满两年,共有,"
                                有抵押 100万元 未告知 客户偿还
                              ",已上传房本照片
150,雨花新村五村,雨花台,165,31340元/平米,2室1厅1厨1卫,低楼层 (共6层),52.65㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-11-19,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
151,东郊小镇第六街区,江宁,166,18920元/平米,3室2厅1厨1卫,中楼层 (共6层),87.74㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
152,马道街,秦淮,169,29290元/平米,2室1厅1厨1卫,高楼层 (共7层),57.7㎡,平层,51.46㎡,板楼,南 北,钢混结构,简装,一梯三户,无,70年,2018-04-15,经济适用房,2014-08-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
153,水佐岗48巷3号院,鼓楼,257,45009元/平米,2室1厅1厨1卫,低楼层 (共7层),57.1㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,无,70年,2019-07-13,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
154,中海国际社区一期,江宁,290,30364元/平米,3室2厅1厨1卫,低楼层 (共32层),95.51㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,有,70年,2018-11-05,商品房,2016-04-20,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片
155,锦虹美苑,雨花台,318,37237元/平米,2室1厅1厨1卫,中楼层 (共6层),85.4㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,70年,2019-10-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
156,天润城第十二街区,浦口,175,22214元/平米,2室2厅1厨1卫,中楼层 (共18层),78.78㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯六户,有,70年,2019-05-08,商品房,2017-06-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
157,江岸水城,浦口,155,20042元/平米,2室2厅1厨1卫,低楼层 (共6层),77.34㎡,平层,67.3㎡,板楼,南,钢混结构,精装,一梯两户,无,70年,2019-01-17,商品房,2015-05-04,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
158,钟灵街54号,玄武,162,29412元/平米,2室1厅1厨1卫,中楼层 (共7层),55.08㎡,平层,暂无数据,板楼,东 西,砖混结构,精装,一梯两户,无,70年,2019-12-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
159,扬子十九村,六合,120,17676元/平米,2室2厅1厨1卫,中楼层 (共6层),67.89㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,无,未知,2019-12-12,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
160,东郊小镇第六街区,江宁,182,20829元/平米,3室2厅1厨1卫,中楼层 (共6层),87.38㎡,平层,75.71㎡,板楼,南,钢混结构,简装,一梯两户,无,70年,2018-06-07,商品房,2014-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
161,银城花园北片,鼓楼,308,61922元/平米,2室1厅1厨1卫,高楼层 (共7层),49.74㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-09-21,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
162,百水芊城春水坊,栖霞,140,14918元/平米,3室2厅1厨1卫,高楼层 (共6层),93.85㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯三户,无,70年,2019-12-10,经济适用房,2019-01-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
163,银城花园北片,鼓楼,359,56724元/平米,2室1厅1厨1卫,中楼层 (共7层),63.29㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-12-05,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
164,翠林山庄,栖霞,140,20000元/平米,2室2厅1厨1卫,高楼层 (共6层),70㎡,跃层,暂无数据,板楼,南,砖混结构,精装,一梯六户,无,70年,2019-06-09,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
165,证大大拇指广场,鼓楼,310,37499元/平米,2室1厅1厨1卫,中楼层 (共31层),82.67㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,四梯十五户,有,70年,2020-01-11,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押
                              ",未上传房本照片
166,柏悦澜庭,雨花台,511.5,41224元/平米,3室2厅1厨2卫,中楼层 (共11层),124.08㎡,平层,108.32㎡,板楼,南 西 北,钢混结构,精装,一梯两户,有,70年,2019-06-07,商品房,2013-10-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
167,信府河,秦淮,186,36957元/平米,2室1厅1厨1卫,低楼层 (共3层),50.33㎡,平层,38.23㎡,板塔结合,南 北,钢混结构,简装,一梯五户,无,70年,2018-07-24,房改房,2017-04-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
168,萍聚村,鼓楼,420,74429元/平米,2室1厅1厨1卫,低楼层 (共7层),56.43㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯五户,无,70年,2019-12-30,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片
169,中北蔚蓝星座,秦淮,199.9,37597元/平米,1室1厅1厨1卫,低楼层 (共23层),53.17㎡,平层,44.37㎡,板塔结合,南,钢混结构,精装,两梯六户,有,70年,2019-01-17,商品房,2009-11-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
170,金地自在城第六街区,雨花台,205,24356元/平米,2室2厅1厨1卫,低楼层 (共30层),84.17㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-11-01,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押 40万元
                              ",未上传房本照片
171,紫气钟山,玄武,119.9,30705元/平米,1室1厅1厨1卫,低楼层 (共6层),39.05㎡,平层,33.21㎡,板塔结合,东,钢混结构,精装,两梯二十四户,有,70年,2019-06-24,商品房,2013-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
172,水韵雨滴苑,江宁,129,17537元/平米,2室1厅1厨1卫,高楼层 (共9层),73.56㎡,平层,暂无数据,板楼,东 南,钢混结构,精装,两梯三十六户,有,70年,2019-05-29,商品房,2016-09-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
173,天正滨江花园,建邺,1220,46395元/平米,4室2厅1厨2卫,中楼层 (共18层),262.96㎡,平层,226.46㎡,板楼,东 西,钢混结构,简装,两梯两户,有,70年,2018-11-16,商品房,2015-12-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
174,碧虹苑,建邺,220,27898元/平米,2室1厅1厨1卫,高楼层 (共7层),78.86㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-04-07,商品房,2016-02-11,普通住宅,满两年,共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
175,玉泉路,鼓楼,580,87324元/平米,2室1厅1厨1卫,中楼层 (共7层),66.42㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-06-05,房改房,2009-01-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
176,上怡新村,雨花台,92,15863元/平米,2室1厅1厨1卫,高楼层 (共6层),58㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-12-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
177,南方花园B组团,江宁,122,26621元/平米,1室1厅1厨1卫,高楼层 (共7层),45.83㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-03-15,商品房,2015-06-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
178,锦绣花园,江宁,232,16191元/平米,4室2厅1厨2卫,高楼层 (共6层),143.29㎡,错层,131.14㎡,板楼,南,钢混结构,精装,一梯两户,无,70年,2017-05-17,商品房,2013-03-15,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
179,藏龙御景,江宁,390,29948元/平米,3室1厅1厨2卫,低楼层 (共17层),130.23㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,2019-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 浦发银行 客户偿还
                              ",未上传房本照片
180,保利香槟国际,建邺,708,49916元/平米,3室1厅1厨2卫,低楼层 (共18层),141.84㎡,平层,111.83㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,2019-10-15,商品房,2013-06-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
181,瑞金路二号四号小区,秦淮,252,39375元/平米,3室2厅1厨1卫,中楼层 (共4层),64㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-08-28,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
182,俞家巷,秦淮,165,39286元/平米,2室1厅1厨1卫,低楼层 (共6层),42㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,70年,2019-12-09,房改房,2013-01-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
183,亚东城东区,栖霞,420,35041元/平米,3室2厅1厨2卫,中楼层 (共15层),119.86㎡,平层,101.29㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,70年,2018-09-07,商品房,2015-07-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
184,世茂君望墅,秦淮,838,48389元/平米,6室2厅1厨2卫,高楼层 (共7层),173.18㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-11-24,商品房,2015-08-04,普通住宅,满两年,非共有,"
                                有抵押 150
                              ",已上传房本照片
185,浦欣家园,浦口,185,19073元/平米,3室1厅1厨1卫,中楼层 (共6层),97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
186,迎江园,鼓楼,385,79153元/平米,2室1厅1厨1卫,中楼层 (共7层),48.64㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,70年,2019-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
187,文墨花苑,六合,160,18391元/平米,3室2厅1厨1卫,中楼层 (共18层),87㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,2020-01-12,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押 25万元
                              ",未上传房本照片
188,融创臻园,浦口,258,29319元/平米,3室2厅1厨2卫,中楼层 (共11层),88㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018-06-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
189,雨花新村三村,雨花台,165,25681元/平米,2室1厅1厨1卫,低楼层 (共7层),64.25㎡,平层,暂无数据,板楼,东,砖混结构,精装,一梯四户,有,70年,2019-09-19,商品房,2019-09-23,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
190,后宰门西村,玄武,198,30895元/平米,2室1厅1厨1卫,中楼层 (共6层),64.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,70年,2019-08-07,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
191,明月港湾旭日湾,江宁,290,23477元/平米,3室2厅1厨2卫,高楼层 (共6层),123.53㎡,错层,110㎡,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2018-03-23,商品房,2016-10-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
192,戴家巷,鼓楼,115,23432元/平米,2室0厅1厨1卫,高楼层 (共6层),49.08㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,无,70年,2019-02-20,房改房,2018-05-25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
193,太平苑,秦淮,163,32106元/平米,2室1厅1厨1卫,低楼层 (共7层),50.77㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,无,70年,2020-01-09,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
194,新河一村,鼓楼,435,63044元/平米,3室1厅1厨1卫,中楼层 (共7层),69㎡,平层,59.12㎡,板楼,南 北,砖混结构,简装,一梯三户,无,70年,2019-05-26,商品房,2016-01-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
195,紫金东郡,玄武,365,38422元/平米,3室2厅1厨1卫,中楼层 (共5层),95㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2018-09-02,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
196,黄埔鑫园,秦淮,580,30804元/平米,5室2厅1厨3卫,高楼层 (共11层),188.29㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,70年,2019-01-07,商品房,2016-05-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
197,亚都天元居,江宁,305,26956元/平米,3室2厅1厨1卫,低楼层 (共11层),113.15㎡,平层,93.98㎡,板楼,南 西,钢混结构,简装,一梯两户,有,70年,2017-12-17,商品房,2013-12-16,普通住宅,满五年,非共有,"
                                有抵押 25万元 有公积金未还25万左右 客户偿还
                              ",已上传房本照片
198,映山菁华,秦淮,283,37247元/平米,2室1厅1厨1卫,高楼层 (共6层),75.98㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-05-23,商品房,2006-02-08,普通住宅,满五年,非共有,"
                                有抵押 65万元 客户偿还
                              ",已上传房本照片
199,金箔家园,江宁,140,25317元/平米,2室1厅1厨1卫,低楼层 (共4层),55.3㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯一户,无,70年,2019-12-03,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
200,荷花塘,六合,85,11334元/平米,3室1厅1厨1卫,高楼层 (共7层),75㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-08-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
201,世茂外滩新城,鼓楼,420,38533元/平米,2室2厅1厨1卫,低楼层 (共55层),109㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,70年,2019-10-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
202,五马街,秦淮,229,35069元/平米,3室1厅1厨1卫,中楼层 (共7层),65.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,70年,2019-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
203,万达紫金明珠,秦淮,295,27960元/平米,3室2厅1厨1卫,中楼层 (共9层),105.51㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,70年,2019-11-09,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 130万元 民生银行 客户偿还
                              ",未上传房本照片
204,旭日爱上城第三区,浦口,228,24482元/平米,3室1厅1厨1卫,低楼层 (共25层),93.13㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,2019-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 60万元
                              ",未上传房本照片
205,景湖名都,高淳,37,4513元/平米,2室2厅1厨1卫,高楼层 (共6层),82㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2019-08-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 15万元 银行 客户偿还
                              ",未上传房本照片
206,美达浅草明苑,栖霞,275,30220元/平米,2室1厅1厨1卫,中楼层 (共6层),91㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,70年,2019-10-23,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押 15万元 业主自还
                              ",未上传房本照片
207,翠岭银河,雨花台,175,22538元/平米,2室1厅1厨1卫,中楼层 (共11层),77.65㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯三户,有,70年,2019-12-18,经济适用房,2017-11-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
208,莫愁新寓迎春里,鼓楼,198,37780元/平米,2室1厅1厨1卫,中楼层 (共5层),52.41㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-08-30,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
209,华庭北园,江宁,106,16061元/平米,2室1厅1厨1卫,高楼层 (共18层),66㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯六户,有,70年,2019-07-16,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
210,三山花园,秦淮,410,39861元/平米,2室2厅1厨1卫,中楼层 (共9层),102.86㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯三户,有,70年,2019-07-21,商品房,2010-07-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
211,天景山公寓花锦苑,江宁,180,19355元/平米,3室2厅1厨1卫,高楼层 (共6层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-12-10,动迁安置房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
212,茶亭东街9巷,建邺,185,35172元/平米,3室2厅1厨2卫,低楼层 (共6层),52.6㎡,跃层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-10-22,商品房,2000-12-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
213,中垠紫金观邸,栖霞,298,33699元/平米,3室2厅1厨1卫,中楼层 (共13层),88.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,70年,2019-07-06,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 100万元
                              ",未上传房本照片
214,东郊小镇第八街区,江宁,96,23398元/平米,2室1厅1厨1卫,低楼层 (共9层),41.03㎡,暂无数据,暂无数据,板塔结合,西北,钢混结构,精装,一梯二十九户,有,70年,2019-06-03,商品房,2016-08-04,普通住宅,满两年,共有,"
                                有抵押 20万元 客户偿还
                              ",已上传房本照片
215,蓝光公园1号,雨花台,259,23942元/平米,3室1厅1厨2卫,低楼层 (共30层),108.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,70年,2020-01-12,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
216,富力城,江宁,400,29354元/平米,4室1厅1厨2卫,低楼层 (共18层),136.27㎡,平层,101.63㎡,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,70年,2018-08-18,商品房,2015-03-04,普通住宅,满两年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
217,云锦美地绮云居,建邺,475,39475元/平米,3室2厅1厨2卫,中楼层 (共6层),120.33㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-12-11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
218,桃园路18号,江宁,165,23793元/平米,2室1厅1厨1卫,高楼层 (共6层),69.35㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,无,70年,2019-12-10,商品房,2016-08-17,普通住宅,满两年,共有,"
                                有抵押 78万元 抵押银行 客户偿还
                              ",已上传房本照片
219,银城西堤国际二区,建邺,1130,56013元/平米,5室2厅1厨2卫,高楼层 (共11层),201.74㎡,复式,168.4㎡,板楼,东南,钢混结构,精装,一梯两户,有,70年,2019-02-20,商品房,2015-07-31,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
220,新城香悦澜山,栖霞,560,39711元/平米,4室2厅1厨2卫,高楼层 (共11层),141.02㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,70年,2019-12-17,商品房,2017-03-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
221,汉北街8号,鼓楼,250,35281元/平米,3室1厅1厨1卫,高楼层 (共4层),70.86㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯六户,无,70年,2017-12-15,房改房,2004-08-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
222,朗诗青春街区,江宁,138,18106元/平米,3室2厅1厨1卫,高楼层 (共10层),76.22㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯四户,有,70年,2019-12-31,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 70万元 建行 客户偿还
                              ",未上传房本照片
223,明瓦廊,秦淮,139,30087元/平米,2室1厅1厨1卫,高楼层 (共7层),46.2㎡,平层,暂无数据,板楼,东 西,砖混结构,简装,一梯五户,有,70年,2019-12-16,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
224,华府国际,浦口,225,23106元/平米,3室1厅1厨2卫,低楼层 (共11层),97.38㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,70年,2018-06-14,商品房,2016-10-10,普通住宅,满两年,共有,"
                                有抵押 140万元 客户偿还
                              ",已上传房本照片
225,墨香山庄,玄武,245,25722元/平米,2室2厅1厨1卫,高楼层 (共6层),95.25㎡,平层,85.55㎡,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-10-21,商品房,2011-07-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
226,华山山庄,浦口,140,19719元/平米,1室2厅1厨1卫,中楼层 (共18层),71㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019-11-03,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
227,嘉业阳光城天景苑一期,建邺,760,54047元/平米,3室2厅1厨2卫,低楼层 (共15层),140.62㎡,平层,111.66㎡,塔楼,南 北,钢混结构,精装,两梯两户,有,70年,2019-03-16,商品房,2007-09-13,普通住宅,满五年,共有,"
                                有抵押 20万元 建设银行 业主自还
                              ",已上传房本照片
228,万科金域国际,江宁,215,27455元/平米,2室2厅1厨1卫,高楼层 (共28层),78.31㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,70年,2019-02-16,商品房,2018-06-01,普通住宅,未满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片
229,银城东苑菱香苑,玄武,545,41295元/平米,3室2厅1厨2卫,低楼层 (共11层),131.98㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018-12-10,商品房,2006-12-07,普通住宅,满五年,非共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片
230,南钢一村,六合,60,13637元/平米,2室1厅1厨1卫,低楼层 (共3层),44㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯四户,无,70年,2019-10-26,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
231,天元吉第城,江宁,225,26163元/平米,2室2厅1厨1卫,低楼层 (共6层),86㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
232,江南青年城,江宁,225,23838元/平米,3室2厅1厨1卫,中楼层 (共5层),94.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-02-18,商品房,2005-02-20,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
233,兴贤佳园尚贤苑,玄武,176,25735元/平米,2室1厅1厨1卫,高楼层 (共18层),68.39㎡,平层,54.26㎡,板楼,南,钢混结构,精装,两梯五户,有,70年,2019-08-15,房改房,2013-05-17,普通住宅,满五年,非共有,"
                                有抵押 23万元 建行 客户偿还
                              ",已上传房本照片
234,南方名苑,溧水,69,14082元/平米,1室1厅1厨1卫,低楼层 (共18层),49㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,70年,2019-12-12,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片
235,中粮鸿云,江宁,185,20754元/平米,3室1厅1厨1卫,高楼层 (共20层),89.14㎡,平层,暂无数据,塔楼,北 南,钢混结构,简装,两梯八户,有,70年,2019-12-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 65万元 客户偿还
                              ",未上传房本照片
236,湖滨世纪花园,江宁,240,25557元/平米,2室2厅1厨1卫,高楼层 (共6层),93.91㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,70年,2019-03-04,商品房,2013-03-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
237,观山悦,浦口,270,22500元/平米,3室2厅1厨2卫,低楼层 (共18层),120㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,70年,2019-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 120万元
                              ",未上传房本照片
238,南方花园A组团,江宁,207,30175元/平米,2室1厅1厨1卫,低楼层 (共6层),68.6㎡,平层,59.19㎡,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-10-05,商品房,2013-05-08,普通住宅,满五年,共有,"
                                有抵押 30万元 中国银行 业主自还
                              ",已上传房本照片
239,紫金上品苑,栖霞,245,27560元/平米,3室2厅1厨1卫,高楼层 (共25层),88.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
