id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
96,金川花苑,鼓楼,340,35790元/平米,3室1厅1厨1卫,中楼层 (共6层),95㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,70年,2019-09-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
97,天空之都,秦淮,288,56671元/平米,1室1厅1厨1卫,中楼层 (共36层),50.82㎡,暂无数据,45㎡,塔楼,西,钢混结构,精装,九梯三十户,有,70年,2019-09-10,商品房,2016-09-01,普通住宅,满两年,共有,"
                                有抵押 80万元
                              ",已上传房本照片
98,威尼斯水城第十三街区,浦口,185,20692元/平米,2室2厅1厨1卫,高楼层 (共28层),89.41㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-12-31,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押 50万元
                              ",未上传房本照片
99,王府园小区,秦淮,228,61556元/平米,2室1厅1厨1卫,高楼层 (共7层),37.04㎡,平层,31.59㎡,板楼,南 北,砖混结构,简装,一梯两户,无,70年,2019-03-02,房改房,2009-05-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
100,鲁能公馆,建邺,400,44944元/平米,3室2厅1厨1卫,低楼层 (共32层),89㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,70年,2019-07-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 客户偿还
                              ",未上传房本照片
101,云锦美地合锦苑,建邺,390,41936元/平米,2室2厅1厨1卫,中楼层 (共6层),93㎡,平层,82.13㎡,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-09-10,商品房,2009-03-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
102,左邻右里,江宁,240,27492元/平米,2室2厅1厨1卫,低楼层 (共10层),87.3㎡,平层,74.3㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2019-03-10,商品房,2016-02-19,普通住宅,满两年,共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片
103,挪威森林,江宁,345,29295元/平米,3室2厅1厨2卫,中楼层 (共6层),117.77㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-03-13,商品房,2014-07-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
104,北江锦城,浦口,415,26949元/平米,4室2厅1厨2卫,低楼层 (共5层),154㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2018-11-28,商品房,2016-11-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
105,瑞凯国际,六合,75,11539元/平米,2室1厅1厨1卫,高楼层 (共8层),65㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯四十八户,有,70年,2019-08-05,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押 35万元
                              ",未上传房本照片
106,天润城第九街区,浦口,280,19304元/平米,4室2厅1厨2卫,高楼层 (共18层),145.05㎡,暂无数据,135.48㎡,板楼,南 北,钢混结构,精装,两梯三户,有,70年,2018-08-26,商品房,2017-03-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
107,明尚西苑,雨花台,188,21364元/平米,3室1厅1厨1卫,高楼层 (共27层),88㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,三梯八户,有,70年,2019-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
108,公教一村,玄武,510,86222元/平米,2室1厅1厨1卫,低楼层 (共6层),59.15㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-09-26,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
109,银亿东城第九街区,江宁,208,23371元/平米,3室2厅1厨2卫,中楼层 (共11层),89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯一户,暂无数据,70年,2019-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
110,绿地国际花都御峯,江宁,176,19776元/平米,3室2厅1厨1卫,低楼层 (共29层),89㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,70年,2019-09-04,商品房,2017-09-07,普通住宅,未满两年,非共有,"
                                有抵押 47万元 47万
                              ",未上传房本照片
111,王府园小区,秦淮,258,55496元/平米,2室1厅1厨1卫,中楼层 (共7层),46.49㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,有,70年,2019-06-30,房改房,2004-12-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
112,星叶瑜憬湾,栖霞,300,32609元/平米,2室1厅1厨1卫,中楼层 (共20层),92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯六户,暂无数据,70年,2019-12-24,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 183万元 客户偿还
                              ",未上传房本照片
113,峨嵋岭,鼓楼,440,99256元/平米,2室1厅1厨1卫,低楼层 (共3层),44.33㎡,平层,37.99㎡,板楼,南 北,砖混结构,精装,一梯三户,无,70年,2019-03-28,商品房,2014-04-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
114,怡景花园,鼓楼,499,66864元/平米,3室1厅1厨1卫,高楼层 (共26层),74.63㎡,平层,56.07㎡,塔楼,西北 北,钢混结构,简装,两梯八户,有,70年,2019-06-14,商品房,2013-04-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
115,保利中央公园西苑,江宁,318,35727元/平米,3室2厅1厨1卫,高楼层 (共33层),89.01㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,70年,2019-07-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
116,安乐村,鼓楼,137,23328元/平米,2室1厅1厨1卫,高楼层 (共6层),58.73㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,无,70年,2019-08-31,房改房,2019-06-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
117,蒋湾花园,六合,70,11291元/平米,2室1厅1厨1卫,中楼层 (共7层),62㎡,暂无数据,暂无数据,板楼,南,框架结构,简装,一梯两户,无,70年,2019-11-10,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
118,莲花嘉园,建邺,215,26220元/平米,2室2厅1厨1卫,高楼层 (共34层),82㎡,平层,81.76㎡,板塔结合,南 北,钢混结构,精装,两梯五户,有,70年,2019-05-14,商品房,2016-03-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
119,新华二村,六合,80,15095元/平米,2室1厅1厨1卫,高楼层 (共6层),53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,70年,2019-12-21,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
120,东郊小镇第二街区,江宁,315,22028元/平米,5室2厅1厨3卫,低楼层 (共4层),143㎡,暂无数据,南,钢混结构,毛坯,联排,70年,null,null,null,2019-04-29,商品房,暂无数据,别墅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
121,中海国际社区一期,江宁,305,25936元/平米,3室2厅1厨2卫,高楼层 (共32层),117.6㎡,平层,116㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018-10-21,商品房,2016-04-23,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片
122,劳工新村,鼓楼,225,37135元/平米,2室1厅1厨1卫,高楼层 (共6层),60.59㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-11-17,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 60万元
                              ",未上传房本照片
123,浦厂南苑,浦口,119,20170元/平米,2室1厅1厨1卫,高楼层 (共7层),59㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯一户,暂无数据,70年,2019-10-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",未上传房本照片
124,莲花新城南苑,建邺,143,23774元/平米,2室1厅1厨1卫,中楼层 (共34层),60.15㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,70年,2019-12-05,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 48万元 家族份额共计48万 金融公司垫资
                              ",未上传房本照片
125,周洼新村,六合,87,14033元/平米,2室1厅1厨1卫,高楼层 (共6层),62㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯两户,无,70年,2019-10-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
126,明发浦泰梦幻家,雨花台,150,20000元/平米,2室1厅1厨1卫,中楼层 (共18层),75㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,70年,2019-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 70万元 客户偿还
                              ",未上传房本照片
127,欣旺花苑,江宁,146,15149元/平米,3室2厅1厨1卫,高楼层 (共6层),96.38㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,无,70年,2019-09-02,商品房,2016-11-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
128,盈嘉青春渡,江宁,84,21000元/平米,1室1厅1厨1卫,中楼层 (共7层),40㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯五十九户,有,70年,2019-07-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
129,九乡雅苑,江宁,132,21257元/平米,2室1厅1厨1卫,低楼层 (共11层),62.1㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,70年,2019-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
130,泰来苑,浦口,198,17284元/平米,3室1厅1厨1卫,高楼层 (共32层),114.56㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,70年,2018-10-29,商品房,2015-03-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
131,威尼斯水城第十四街区,浦口,169,20134元/平米,2室2厅1厨1卫,低楼层 (共18层),83.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2018-07-01,商品房,2016-11-14,普通住宅,满两年,共有,"
                                有抵押 90万元
                              ",已上传房本照片
